COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,CATEGORY (i.e.ISCED description),HEI
Deaf Studies,TR016,340,,Languages,Trinity College Dublin
Law and Business,TR017,602,,Law,Trinity College Dublin
Law and French,TR018,565,,Law,Trinity College Dublin
Law and German,TR019,543,542,Law,Trinity College Dublin
Law and Political Science,TR020,602,,Law,Trinity College Dublin
"Classics, Ancient History and Archaeology",TR021,370,,Humanities (except languages),Trinity College Dublin
Early and Modern Irish,TR022,398,,Languages,Trinity College Dublin
English Studies,TR023,487,476,Languages,Trinity College Dublin
European Studies,TR024,544,542,Humanities (except languages),Trinity College Dublin
Drama and Theatre Studies,TR025,564,530,Arts,Trinity College Dublin
Ancient and Medieval History and Culture,TR028,342,,Humanities (except languages),Trinity College Dublin
Political Science and Geography,TR029,526,520,Social and behavioural sciences,Trinity College Dublin
Mathematics,TR031,531,,Mathematics and statistics,Trinity College Dublin
Engineering,TR032,510,509,Engineering and engineering trades,Trinity College Dublin
Computer Science,TR033,509,,Information and Communication Technologies (ICTs),Trinity College Dublin
Management Science and Information Systems Studies,TR034,613,,Business and administration,Trinity College Dublin
Theoretical Physics,TR035,543,,Physical sciences,Trinity College Dublin
Engineering with Management,TR038,532,,Engineering and engineering trades,Trinity College Dublin
Computer Science and Language,TR039,454,424,Information and Communication Technologies (ICTs),Trinity College Dublin
Middle Eastern and European Languages and Cultures,TR040,466,,Languages,Trinity College Dublin
Religion,TR041,368,,Humanities (except languages),Trinity College Dublin
Film,TR042,489,476,Arts,Trinity College Dublin
History of Art and Architecture,TR043,393,354,Humanities (except languages),Trinity College Dublin
Medicine (HPAT required),TR051,735,734,Health,Trinity College Dublin
Dental Science,TR052,613,613,Health,Trinity College Dublin
Physiotherapy,TR053,566,566,Health,Trinity College Dublin
Occupational Therapy,TR054,533,,Health,Trinity College Dublin
Radiation Therapy,TR055,543,,Health,Trinity College Dublin
Human Health and Disease,TR056,565,,Health,Trinity College Dublin
Biological and Biomedical Sciences,TR060,543,543,Biological and related sciences,Trinity College Dublin
Chemical Sciences,TR061,517,510,Physical sciences,Trinity College Dublin
Geography and Geoscience,TR062,473,,Physical sciences,Trinity College Dublin
Physical Sciences,TR063,498,498,Physical sciences,Trinity College Dublin
Pharmacy,TR072,590,,Health,Trinity College Dublin
Global Business,TR080,589,,Business and administration,Trinity College Dublin
"Business, Economic and Social Studies (BESS)",TR081,543,543,Social and behavioural sciences,Trinity College Dublin
Computer Science and Business,TR082,555,,Business and administration,Trinity College Dublin
Sociology and Social Policy,TR083,498,487,Social and behavioural sciences,Trinity College Dublin
Social Studies (Social Work),TR084,462,,Welfare,Trinity College Dublin
Business Studies and French,TR085,540,531,Business and administration,Trinity College Dublin
Business Studies and German,TR086,509,499,Business and administration,Trinity College Dublin
Business Studies and Russian,TR087,474,465,Business and administration,Trinity College Dublin
Business Studies and Polish,TR089,444,424,Business and administration,Trinity College Dublin
Business Studies and Spanish,TR090,531,,Business and administration,Trinity College Dublin
General Nursing (Meath and St James`s),TR091,429,,Health,Trinity College Dublin
General Nursing (Adelaide School of Nursing),TR093,430,429,Health,Trinity College Dublin
Mental Health Nursing,TR095,408,,Health,Trinity College Dublin
Intellectual Disability Nursing,TR097,396,,Health,Trinity College Dublin
Ancient History and Archaeology/Geography,TR111,352,,Arts,Trinity College Dublin
Ancient History and Archaeology/History,TR112,529,,Arts,Trinity College Dublin
Ancient History and Archaeology/History of Art and Architecture,TR113,337,,Arts,Trinity College Dublin
Ancient History and Archaeology/Modern Language,TR114,337,,Arts,Trinity College Dublin
Ancient History and Archaeology/Religion,TR117,342,,Arts,Trinity College Dublin
Classical Civilisation/English Literature,TR166,498,496,Arts,Trinity College Dublin
Classical Civilisation/History of Art and Architecture,TR173,335,,Arts,Trinity College Dublin
Classical Civilisation/Modern Language,TR177,335,,Arts,Trinity College Dublin
Classical Civilisation/Philosophy,TR179,499,,Arts,Trinity College Dublin
Economics/Geography,TR198,534,,Arts,Trinity College Dublin
Economics/History,TR202,534,,Arts,Trinity College Dublin
Economics/Mathematics,TR207,566,,Arts,Trinity College Dublin
Economics/Modern Language,TR208,534,,Arts,Trinity College Dublin
Economics/Philosophy,TR209,534,,Arts,Trinity College Dublin
Economics/Sociology,TR212,534,,Arts,Trinity College Dublin
Classical Languages/English Literature,TR228,498,,Interdisciplinary programmes and qualifications involving arts and humanities,Trinity College Dublin
Classical Languages/History of Art and Architecture,TR231,349,,Interdisciplinary programmes and qualifications involving arts and humanities,Trinity College Dublin
"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,349,,Interdisciplinary programmes and qualifications involving arts and humanities,Trinity College Dublin
Classical Languages/Modern Language,TR239,349,,Arts,Trinity College Dublin
English Literature/History,TR262,529,,Arts,Trinity College Dublin
English Literature/History of Art and Architecture,TR263,498,497,Arts,Trinity College Dublin
English Literature/Philosophy,TR269,499,,Arts,Trinity College Dublin
English Literature/Sociology,TR272,498,,Arts,Trinity College Dublin
English Literature/Drama Studies,TR276,#498,,Arts,Trinity College Dublin
English Literature/Modern Language,TR277,498,495,Arts,Trinity College Dublin
Film/Drama Studies,TR311,#521,,Arts,Trinity College Dublin
Film/English Literature,TR312,521,,Arts,Trinity College Dublin
Film/Music,TR320,521,,Arts,Trinity College Dublin
Geography/History,TR322,529,,Arts,Trinity College Dublin
Drama Studies/Modern Language,TR323,#473,,Arts,Trinity College Dublin
Film/Modern Language,TR324,521,,Arts,Trinity College Dublin
Film/History,TR325,529,,Arts,Trinity College Dublin
Geography/Modern Language,TR326,352,,Arts,Trinity College Dublin
Geography/Sociology,TR332,498,496,Arts,Trinity College Dublin
History/History of Art and Architecture,TR443,529,,Arts,Trinity College Dublin
History/Modern Language,TR447,529,,Arts,Trinity College Dublin
History/Philosophy,TR449,529,,Arts,Trinity College Dublin
History/Sociology,TR452,529,,Arts,Trinity College Dublin
History/Religion,TR454,529,,Arts,Trinity College Dublin
History of Art and Architecture/Modern Language,TR455,334,,Arts,Trinity College Dublin
History of Art and Architecture/Philosophy,TR479,499,,Arts,Trinity College Dublin
"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,337,,Arts,Trinity College Dublin
"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,335,,Arts,Trinity College Dublin
"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,529,,Arts,Trinity College Dublin
"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,335,,Arts,Trinity College Dublin
"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,Arts,Trinity College Dublin
"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,342,,Arts,Trinity College Dublin
Mathematics/Modern Language,TR597,566,,Arts,Trinity College Dublin
Mathematics/Music,TR598,566,,Arts,Trinity College Dublin
Mathematics/Philosophy,TR599,566,,Arts,Trinity College Dublin
Music/Philosophy,TR629,499,,Arts,Trinity College Dublin
Music/Drama Studies,TR635,#473,,Arts,Trinity College Dublin
Music/Modern Language,TR636,388,,Arts,Trinity College Dublin
Music/Religion,TR638,388,,Arts,Trinity College Dublin
Philosophy/Modern Language,TR639,499,,Arts,Trinity College Dublin
Philosophy/Sociology,TR662,499,,Arts,Trinity College Dublin
Religion/Classical Civilisation,TR663,342,,Arts,Trinity College Dublin
Religion/English Literature,TR664,498,,Arts,Trinity College Dublin
Religion/History of Art and Architecture,TR665,342,,Arts,Trinity College Dublin
Religion/Modern Language,TR666,,,Arts,Trinity College Dublin
French/Modern Language,TR667,403,,Arts,Trinity College Dublin
German/Modern Language,TR668,389,,Arts,Trinity College Dublin
Irish/Modern Language,TR669,368,,Arts,Trinity College Dublin
Italian/Modern Language,TR670,381,,Arts,Trinity College Dublin
Russian/Modern Language,TR671,332,,Arts,Trinity College Dublin
Spanish/Modern Language,TR672,336,,Arts,Trinity College Dublin
Sociology/Drama Studies,TR755,#498,,Arts,Trinity College Dublin
Sociology/Modern Language,TR756,498,495,Arts,Trinity College Dublin
Dental Nursing,TR801,436,419,Health,Trinity College Dublin
Dental Hygiene,TR802,#543,#511,Health,Trinity College Dublin
Dental Technology,TR803,#531,#486,Health,Trinity College Dublin
Children`s and General Nursing (Integrated),TR911,511,510,Health,Trinity College Dublin
Midwifery,TR913,478,477,Health,Trinity College Dublin
Electronic Engineering,TU601,232,,Engineering and engineering trades,Technological University Dublin
Computer Engineering,TU602,223,,Engineering and engineering trades,Technological University Dublin
Mechanical Engineering,TU603,197,197,Engineering and engineering trades,Technological University Dublin
Bar and Restaurant Management,TU641,223,,Personal services,Technological University Dublin
Culinary Arts,TU642,153,,Personal services,Technological University Dublin
Culinary Arts (Professional Cookery Practice),TU643,236,,Personal services,Technological University Dublin
Food Management and Entrepreneurship,TU644,223,,Personal services,Technological University Dublin
Food Science and Management,TU645,241,,Manufacturing and processing,Technological University Dublin
Applied Biology,TU651,205,196,Biological and related sciences,Technological University Dublin
Computing,TU652,194,,Information and Communication Technologies (ICTs),Technological University Dublin
Computing (Information Technology),TU653,245,,Information and Communication Technologies (ICTs),Technological University Dublin
Pharmacy Technician Studies,TU654,321,,Health,Technological University Dublin
Computing (Networking Technologies) Learn and Work,TU655,410,335,Information and Communication Technologies (ICTs),Technological University Dublin
Business,TU671,226,,Business and administration,Technological University Dublin
Business (Common entry),TU672,180,179,Business and administration,Technological University Dublin
Business Management,TU673,300,,Business and administration,Technological University Dublin
Business Studies,TU674,300,,Business and administration,Technological University Dublin
Marketing,TU675,301,,Business and administration,Technological University Dublin
Retail Management and Marketing,TU676,290,,Business and administration,Technological University Dublin
Automation Engineering,TU701,260,,Engineering and engineering trades,Technological University Dublin
Biomedical Design,TU702,232,232,Engineering and engineering trades,Technological University Dublin
Building Engineering,TU703,260,,Engineering and engineering trades,Technological University Dublin
Civil Engineering,TU704,262,,Architecture and construction,Technological University Dublin
Electrical and Control Engineering,TU705,243,,Engineering and engineering trades,Technological University Dublin
Electrical Services Engineering,TU706,244,,Engineering and engineering trades,Technological University Dublin
Electronic Engineering,TU707,224,224,Engineering and engineering trades,Technological University Dublin
Engineering (Common Entry with Award options),TU708,225,,Engineering and engineering trades,Technological University Dublin
Engineering (General Entry),TU709,370,,Engineering and engineering trades,Technological University Dublin
Engineering Reliability Management,TU710,244,,Engineering and engineering trades,Technological University Dublin
Mechatronic Engineering,TU711,223,,Engineering and engineering trades,Technological University Dublin
Sustainable Energy and Environmental Engineering,TU712,180,180,Engineering and engineering trades,Technological University Dublin
Computer Engineering,TU713,221,,Engineering and engineering trades,Technological University Dublin
Electronics and Communications Engineering,TU714,264,,Engineering and engineering trades,Technological University Dublin
Engineering Software,TU715,181,181,Engineering and engineering trades,Technological University Dublin
Networking Technology,TU716,241,,Engineering and engineering trades,Technological University Dublin
Mechanical Engineering,TU717,300,,Engineering and engineering trades,Technological University Dublin
Mechanical Engineering,TU718,198,198,Engineering and engineering trades,Technological University Dublin
"Design,Technology and Innovation",TU719,228,,Manufacturing and processing,Technological University Dublin
Automotive Management and Technology,TU720,232,,Engineering and engineering trades,Technological University Dublin
Aviation Technology,TU721,350,,Engineering and engineering trades,Technological University Dublin
Process Instrumentation and Automation Learn and Work,TU722,292,292,Manufacturing and processing,Technological University Dublin
"Auctioneering, Valuation and Estate Agency",TU731,290,,Business and administration,Technological University Dublin
Timber Product Technology,TU732,253,198,Manufacturing and processing,Technological University Dublin
Sports Management and Coaching,TU735,270,,Personal services,Technological University Dublin
Sports Science and Health,TU736,410,391,Biological and related sciences,Technological University Dublin
Baking and Pastry Arts Management,TU741,234,,Personal services,Technological University Dublin
Culinary Arts,TU742,155,155,Personal services,Technological University Dublin
Hospitality Management,TU745,245,,Personal services,Technological University Dublin
International Hospitality and Tourism Management,TU746,170,170,Personal services,Technological University Dublin
Tourism Management,TU747,242,,Personal services,Technological University Dublin
Biosciences,TU751,407,,Biological and related sciences,Technological University Dublin
DNA and Forensic Analysis,TU752,390,,Biological and related sciences,Technological University Dublin
Industrial and Environmental Physics,TU754,270,,Physical sciences,Technological University Dublin
Science (General Entry),TU755,361,,Physical sciences,Technological University Dublin
Computing,TU756,200,195,Information and Communication Technologies (ICTs),Technological University Dublin
Computing (Information Technology),TU757,225,,Information and Communication Technologies (ICTs),Technological University Dublin
Digital Forensics and Cyber Security,TU758,220,,Information and Communication Technologies (ICTs),Technological University Dublin
Information Technology Management,TU759,211,,Information and Communication Technologies (ICTs),Technological University Dublin
Bioanalysis,TU760,204,204,Biological and related sciences,Technological University Dublin
Ophthalmic Dispensing,TU761,302,,Health,Technological University Dublin
Medicinal Chemistry and Pharmaceutical Sciences,TU762,364,,Physical sciences,Technological University Dublin
Pharmaceutical Science,TU763,382,349,Biological and related sciences,Technological University Dublin
Business,TU771,224,,Business and administration,Technological University Dublin
Business (Common Entry with Award options),TU772,AQA,227,Business and administration,Technological University Dublin
Management,TU774,195,209,Business and administration,Technological University Dublin
Accounting and Finance,TU775,260,,Business and administration,Technological University Dublin
Accounting and Finance,TU776,182,175,Business and administration,Technological University Dublin
Business and Information Technology,TU777,244,,Business and administration,Technological University Dublin
International Business,TU778,224,,Business and administration,Technological University Dublin
International Business,TU779,180,180,Business and administration,Technological University Dublin
Advertising and Marketing Communications,TU780,179,179,Business and administration,Technological University Dublin
Digital Marketing,TU781,220,,Business and administration,Technological University Dublin
Digital Marketing,TU782,179,179,Business and administration,Technological University Dublin
Marketing,TU783,189,189,Business and administration,Technological University Dublin
Applied Social Studies in Social Care,TU791,320,,Welfare,Technological University Dublin
Community and Youth Development,TU792,101,250,Social and behavioural sciences,Technological University Dublin
Early Childhood Care and Education,TU793,220,,Welfare,Technological University Dublin
Early Childhood Care and Education,TU794,390,250,Welfare,Technological University Dublin
Visual Merchandising and Display,TU795,481,,Arts,Technological University Dublin
Creative Digital Media,TU796,225,,Arts,Technological University Dublin
Biomedical Design,TU801,235,,Engineering and engineering trades,Technological University Dublin
Electrical Services and Energy Management,TU802,317,300,Engineering and engineering trades,Technological University Dublin
Electronic Engineering,TU803,243,243,Engineering and engineering trades,Technological University Dublin
Engineering (Common Entry with Award options),TU804,271,,Engineering and engineering trades,Technological University Dublin
Engineering (General Entry),TU805,402,,Engineering and engineering trades,Technological University Dublin
Sustainable Energy Engineering,TU806,262,,Engineering and engineering trades,Technological University Dublin
Computer Engineering in Mobile Systems,TU807,276,,Engineering and engineering trades,Technological University Dublin
Engineering Software,TU808,260,260,Engineering and engineering trades,Technological University Dublin
Mechanical Engineering,TU809,235,,Engineering and engineering trades,Technological University Dublin
Mechatronic Engineering,TU810,270,,Engineering and engineering trades,Technological University Dublin
Product Design,TU811,411,,Arts,Technological University Dublin
"Design,Technology and Innovation",TU812,270,,Manufacturing and processing,Technological University Dublin
Automation Engineering,TU813,218,218,Engineering and engineering trades,Technological University Dublin
Transport Operations and Technology,TU814,285,251,Transport services,Technological University Dublin
Architectural Technology,TU831,410,,Architecture and construction,Technological University Dublin
Architecture (Suitability Test and Interview),TU832,622,,Architecture and construction,Technological University Dublin
Construction Management,TU833,367,,Architecture and construction,Technological University Dublin
Geographic Science,TU834,288,,Architecture and construction,Technological University Dublin
Planning and Environmental Management,TU835,313,,Architecture and construction,Technological University Dublin
Property Economics (Valuation Surveying),TU836,401,,Architecture and construction,Technological University Dublin
Quantity Surveying and Construction Economics,TU837,385,,Architecture and construction,Technological University Dublin
Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,349,,Environment,Technological University Dublin
Chemical Sciences with Medicinal Chemistry,TU852,476,,Physical sciences,Technological University Dublin
Science (General Entry),TU854,476,,Biological and related sciences,Technological University Dublin
Science with Nanotechnology,TU855,331,319,Physical sciences,Technological University Dublin
Computer Science,TU856,476,,Information and Communication Technologies (ICTs),Technological University Dublin
Computer Science (Infrastructure),TU857,391,,Information and Communication Technologies (ICTs),Technological University Dublin
Computer Science (International),TU858,377,,Information and Communication Technologies (ICTs),Technological University Dublin
Computing,TU859,217,234,Information and Communication Technologies (ICTs),Technological University Dublin
Computing (Information Technology),TU860,260,,Information and Communication Technologies (ICTs),Technological University Dublin
Computing with Language (French/German/Spanish),TU861,308,308,Information and Communication Technologies (ICTs),Technological University Dublin
Computing with Data Analytics,TU862,226,226,Information and Communication Technologies (ICTs),Technological University Dublin
Digital Forensics and Cyber Security,TU863,280,,Information and Communication Technologies (ICTs),Technological University Dublin
DNA and Forensic Analysis,TU864,400,390,Biological and related sciences,Technological University Dublin
Computing with IT Management,TU865,226,,Information and Communication Technologies (ICTs),Technological University Dublin
Biomedical and Molecular Diagnostics,TU866,487,,Health,Technological University Dublin
Biomedical Science,TU867,524,,Health,Technological University Dublin
Clinical Measurement Science,TU868,510,,Health,Technological University Dublin
Environmental Health,TU869,336,,Hygiene and occupational health services,Technological University Dublin
Human Nutrition and Dietetics,TU870,578,,Health,Technological University Dublin
Optometry,TU871,509,,Health,Technological University Dublin
Public Health Nutrition,TU872,491,,Biological and related sciences,Technological University Dublin
Industrial Mathematics,TU873,250,250,Mathematics and statistics,Technological University Dublin
Mathematical Sciences,TU874,341,,Mathematics and statistics,Technological University Dublin
Pharmaceutical Healthcare,TU875,400,,Biological and related sciences,Technological University Dublin
Pharmaceutical Science,TU876,377,349,Biological and related sciences,Technological University Dublin
Physics Technology,TU877,308,,Physical sciences,Technological University Dublin
Physics with Energy and Environment,TU878,337,337,Physical sciences,Technological University Dublin
Physics with Medical Physics and Bioengineering,TU879,351,,Health,Technological University Dublin
Physics with Data Science,TU880,578,,Physical sciences,Technological University Dublin
Food Innovation,TU881,318,,Manufacturing and processing,Technological University Dublin
Nutraceuticals in Health and Nutrition,TU882,397,,Biological and related sciences,Technological University Dublin
Business,TU901,270,,Business and administration,Technological University Dublin
Business (Common Entry with Award options),TU902,271,,Business and administration,Technological University Dublin
Business and Management,TU903,463,,Business and administration,Technological University Dublin
Business and Law,TU904,462,,Business and administration,Technological University Dublin
Economics and Finance,TU905,465,,Social and behavioural sciences,Technological University Dublin
Human Resource Management,TU906,395,,Business and administration,Technological University Dublin
Logistics and Supply Chain Management,TU907,300,,Business and administration,Technological University Dublin
Management,TU908,262,253,Business and administration,Technological University Dublin
Accounting and Finance,TU909,285,,Business and administration,Technological University Dublin
Accounting and Finance,TU910,444,,Business and administration,Technological University Dublin
Accounting and Finance,TU911,209,192,Business and administration,Technological University Dublin
Business Analytics,TU912,330,,Information and Communication Technologies (ICTs),Technological University Dublin
Business and Information Technology,TU913,252,,Business and administration,Technological University Dublin
Business Computing,TU914,324,,Information and Communication Technologies (ICTs),Technological University Dublin
International Business,TU915,252,,Business and administration,Technological University Dublin
International Business,TU916,235,235,Business and administration,Technological University Dublin
Law (LLB ) with a Language,TU917,342,,Law,Technological University Dublin
Law (LLB),TU918,451,,Law,Technological University Dublin
Advertising and Marketing Communications,TU919,228,226,Business and administration,Technological University Dublin
Digital Marketing,TU920,270,,Business and administration,Technological University Dublin
Digital Marketing Technologies,TU921,212,212,Business and administration,Technological University Dublin
Marketing,TU922,418,,Business and administration,Technological University Dublin
Marketing Management,TU923,228,276,Business and administration,Technological University Dublin
E-Commerce in Retailing,TU924,307,,Business and administration,Technological University Dublin
Retail and Services Management,TU925,301,,Business and administration,Technological University Dublin
Sports Management and Coaching,TU935,300,,Personal services,Technological University Dublin
Sports Science and Health,TU936,410,391,Biological and related sciences,Technological University Dublin
Botanical Cuisine,TU941,249,,Personal services,Technological University Dublin
Culinary Arts,TU942,212,212,Personal services,Technological University Dublin
Culinary Entrepreneurship,TU943,278,,Personal services,Technological University Dublin
Culinary Science,TU944,316,,Personal services,Technological University Dublin
International Hospitality and Tourism Management,TU951,184,184,Personal services,Technological University Dublin
International Hospitality Management,TU952,300,,Personal services,Technological University Dublin
Tourism and Digital Marketing,TU953,290,,Personal services,Technological University Dublin
Event Management,TU954,356,,Personal services,Technological University Dublin
Sports & Leisure Management,TU955,217,317,Personal services,Technological University Dublin
Commercial Modern Music,TU961,608,608,Arts,Technological University Dublin
Drama (Performance),TU962,379,,Arts,Technological University Dublin
Music,TU963,416,,Arts,Technological University Dublin
International Business and Languages,TU965,356,346,Business and administration,Technological University Dublin
Languages and English Studies,TU966,366,,Languages,Technological University Dublin
Languages and International Tourism,TU967,308,,Arts,Technological University Dublin
Contemporary Visual Culture,TU971,290,,Arts,Technological University Dublin
Creative and Cultural Industries,TU972,281,,Arts,Technological University Dublin
Design - Visual Communication,TU973,717,,Arts,Technological University Dublin
Fine Art,TU974,709,563,Arts,Technological University Dublin
Interior Design,TU975,632,,Arts,Technological University Dublin
Photography,TU976,695,,Arts,Technological University Dublin
Creative Digital Media,TU981,280,,Arts,Technological University Dublin
Creative Digital Media,TU982,320,311,Arts,Technological University Dublin
Film and Broadcasting,TU983,456,451,Arts,Technological University Dublin
Game Design,TU984,381,,Information and Communication Technologies (ICTs),Technological University Dublin
Journalism,TU985,322,,Journalism and information,Technological University Dublin
Print Media Technology and Management,TU986,289,,Business and administration,Technological University Dublin
Applied Social Studies in Social Care,TU991,325,,Welfare,Technological University Dublin
Community and Youth Development,TU992,251,,Social and behavioural sciences,Technological University Dublin
Early Childhood Care and Education,TU993,270,,Welfare,Technological University Dublin
Early Childhood Care and Education,TU994,321,251,Welfare,Technological University Dublin
Early Childhood Education,TU995,367,,Education,Technological University Dublin
Social Care,TU996,400,,Social and behavioural sciences,Technological University Dublin
Applied Social Care,TU997,310,283,Welfare,Technological University Dublin
Applied Computing (options),WD001,260,260,Information and Communication Technologies (ICTs),Waterford Institute of Technology
Science (options),WD002,308,,Physical sciences,Waterford Institute of Technology
Business,WD003,AQA,171,Business and administration,Waterford Institute of Technology
Health Sciences (options),WD005,280,,Health,Waterford Institute of Technology
Exercise Sciences (options),WD006,280,,Personal services,Waterford Institute of Technology
Engineering (options),WD007,288,288,Engineering and engineering trades,Waterford Institute of Technology
Electronic Engineering,WD010,181,,Engineering and engineering trades,Waterford Institute of Technology
Mechanical Engineering,WD011,198,,Engineering and engineering trades,Waterford Institute of Technology
Legal Studies,WD013,177,,Law,Waterford Institute of Technology
Applied Social Care,WD018,171,,Welfare,Waterford Institute of Technology
Recreation and Sport Management,WD019,174,,Personal services,Waterford Institute of Technology
Construction Management and Engineering,WD025,269,,Architecture and construction,Waterford Institute of Technology
Music,WD027,262,,Arts,Waterford Institute of Technology
Business (options),WD048,271,,Business and administration,Waterford Institute of Technology
Forestry,WD076,243,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Waterford Institute of Technology
Accounting,WD084,308,,Business and administration,Waterford Institute of Technology
Hospitality Management,WD091,228,,Personal services,Waterford Institute of Technology
Architectural Technology,WD094,166,150,Architecture and construction,Waterford Institute of Technology
Horticulture (Waterford - Kildalton),WD096,260,,Agriculture,Waterford Institute of Technology
Horticulture (Dublin - National Botanic Gardens),WD097,AQA,,Agriculture,Waterford Institute of Technology
General Nursing,WD116,422,,Health,Waterford Institute of Technology
Psychiatric Nursing,WD117,366,,Health,Waterford Institute of Technology
Intellectual Disability Nursing,WD120,377,,Health,Waterford Institute of Technology
Agriculture,WD126,327,,Agriculture,Waterford Institute of Technology
International Business,WD134,290,,Business and administration,Waterford Institute of Technology
Design (Visual Communications),WD137,271,,Arts,Waterford Institute of Technology
Civil Engineering,WD139,206,,Architecture and construction,Waterford Institute of Technology
Laws,WD140,280,,Law,Waterford Institute of Technology
Architecture,WD144,284,,Architecture and construction,Waterford Institute of Technology
Pharmaceutical Science,WD147,293,,Physical sciences,Waterford Institute of Technology
Early Childhood Studies,WD149,271,,Welfare,Waterford Institute of Technology
Criminal Justice Studies,WD150,270,,Law,Waterford Institute of Technology
Software Systems Development,WD151,AQA,AQA,Information and Communication Technologies (ICTs),Waterford Institute of Technology
Visual Art,WD152,AQA,,Arts,Waterford Institute of Technology
Multimedia Applications Development,WD153,163,,Information and Communication Technologies (ICTs),Waterford Institute of Technology
Information Technology,WD155,211,,Information and Communication Technologies (ICTs),Waterford Institute of Technology
Business,WD159,195,,Business and administration,Waterford Institute of Technology
Computer Forensics and Security,WD161,255,,Information and Communication Technologies (ICTs),Waterford Institute of Technology
Quantity Surveying,WD162,216,,Architecture and construction,Waterford Institute of Technology
Psychology,WD163,434,,Social and behavioural sciences,Waterford Institute of Technology
Food Science with Business,WD164,309,,Biological and related sciences,Waterford Institute of Technology
Culinary Arts,WD172,AQA,AQA,Personal services,Waterford Institute of Technology
Hospitality Studies,WD173,AQA,,Personal services,Waterford Institute of Technology
Tourism,WD174,AQA,,Personal services,Waterford Institute of Technology
Pharmaceutical Science,WD175,226,,Physical sciences,Waterford Institute of Technology
"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",WD177,222,,Biological and related sciences,Waterford Institute of Technology
Electrical Engineering,WD182,AQA,,Engineering and engineering trades,Waterford Institute of Technology
Retail Management,WD184,163,,Business and administration,Waterford Institute of Technology
Sports Coaching and Performance,WD186,270,,Personal services,Waterford Institute of Technology
Social Science,WD187,272,,Welfare,Waterford Institute of Technology
Applied Health Care,WD188,201,,Health,Waterford Institute of Technology
Agricultural Science,WD191,377,,Agriculture,Waterford Institute of Technology
Social Care Practice,WD192,270,,Welfare,Waterford Institute of Technology
Marketing and Digital Media,WD193,271,,Business and administration,Waterford Institute of Technology
Culinary Arts,WD194,217,,Personal services,Waterford Institute of Technology
Architectural and Building Information Modelling Technology,WD195,279,,Architecture and construction,Waterford Institute of Technology
Arts (options),WD200,AQA,AQA,Arts,Waterford Institute of Technology
Molecular Biology with Biopharmaceutical Science,WD205,228,,Health,Waterford Institute of Technology
Electronic Engineering,WD206,179,,Engineering and engineering trades,Waterford Institute of Technology
Mechanical Engineering,WD207,198,,Engineering and engineering trades,Waterford Institute of Technology
Manufacturing Engineering,WD208,188,,Manufacturing and processing,Waterford Institute of Technology
Software Systems Development,WD210,279,,Information and Communication Technologies (ICTs),Waterford Institute of Technology
Creative Computing,WD211,271,,Information and Communication Technologies (ICTs),Waterford Institute of Technology
Recreation and Sport Management,WD212,270,,Personal services,Waterford Institute of Technology
Mechanical and Manufacturing Engineering,WD230,253,,Engineering and engineering trades,Waterford Institute of Technology
